id;name;email;user_role;created_at;vacation_balance
1;cafe;"tZy@kBT,L1.k%#|";EMPLOYEE;2025-08-10T22:39:24;3110
2;sheepishly shush throughout;"**TM:9@l:Xu..Bdp{A;";HR;2025-08-10T19:47:19;29935
3;cautiously toward unbearably;"g@hrj'.lUTt[8";EMPLOYEE;2025-08-11T10:01:55;29656
4;sauerkraut;"}0@:7Kg+.0";HR;2025-08-10T18:21:05;32151
5;traduce boohoo;"L@(7.Z]rD*";HR;2025-08-11T12:25:00;6371
6;outgoing;"}_%~9)@!.:ku\9";HR;2025-08-10T19:44:51;12664
7;majestically;"T_+@Io.R{{";HR;2025-08-11T02:17:08;16917
8;deadly barring;"E|@Ir.6.a";HR;2025-08-10T19:31:09;6768
9;idolized;"vOD3}Z@fv%d.mU";EMPLOYEE;2025-08-11T12:33:02;22264
10;pfft jungle;"fHK5@#.#%h";HR;2025-08-10T20:42:22;19273
